,doc,page,min,max,year,pos,len,blocks_on_page,group
184,Economics-1955-0,15,0.54403132,0.5518590800000001,1955.0,center,0.007827760000000072,90,E5
185,Economics-1955-0,15,0.5436399,0.5522505,1955.0,center,0.008610600000000024,90,E5
186,Economics-1955-0,15,0.53698629,0.55381602,1955.0,center,0.016829729999999987,90,E5
187,Economics-1955-0,15,0.54285717,0.55264187,1955.0,center,0.00978469999999998,90,E5
188,Economics-1955-0,15,0.59412915,0.60743642,1955.0,center,0.013307269999999982,90,E5
189,Economics-1955-0,15,0.60939336,0.62074363,1955.0,center,0.011350269999999996,90,E5
190,Economics-1955-0,15,0.5827788700000001,0.59295499,1955.0,center,0.0101761199999999,90,E5
191,Economics-1955-0,15,0.58356166,0.61956948,1955.0,center,0.036007820000000024,90,E5
192,Economics-1955-0,15,0.623092,0.63365948,1955.0,center,0.010567480000000073,90,E5
193,Economics-1955-0,15,0.63757336,0.64540118,1955.0,center,0.00782782000000004,90,E5
194,Economics-1955-0,15,0.64814091,0.66105676,1955.0,center,0.012915850000000062,90,E5
195,Economics-1955-0,15,0.66144812,0.67397261,1955.0,center,0.01252449,90,E5
196,Economics-1955-0,15,0.67592955,0.68727982,1955.0,center,0.011350269999999996,90,E5
197,Economics-1955-0,15,0.6489237,0.68610567,1955.0,center,0.03718197000000001,90,E5
198,Economics-1955-0,15,0.68845403,0.70097846,1955.0,center,0.01252442999999992,90,E5
199,Economics-1955-0,15,0.70136988,0.71350294,1955.0,center,0.012133060000000029,90,E5
200,Economics-1955-0,15,0.7142857300000001,0.72759295,1955.0,center,0.013307219999999953,90,E5
201,Economics-1955-0,15,0.7146771,0.75420743,1955.0,center,0.03953033000000006,90,E5
202,Economics-1955-0,15,0.72759295,0.74050879,1955.0,center,0.012915840000000012,90,E5
203,Economics-1955-0,15,0.74246573,0.75420743,1955.0,center,0.011741699999999966,90,E5
204,Economics-1955-0,15,0.76868886,0.79686886,1955.0,center,0.028179999999999983,90,E5
205,Economics-1955-0,15,0.80900198,0.85988259,1955.0,center,0.05088060999999999,90,E5
206,Economics-1955-0,15,0.91780823,0.9268101999999999,1955.0,btm,0.009001969999999915,90,E5
207,Economics-1955-0,15,0.9299413,0.95225048,1955.0,btm,0.02230918000000004,90,E5
208,Economics-1955-0,16,0.071232878,0.07945205300000001,1955.0,top,0.008219175000000009,8,E5
209,Economics-1955-0,16,0.069667317,0.07984344700000001,1955.0,top,0.010176130000000005,8,E5
210,Economics-1955-0,16,0.096281797,0.22152641,1955.0,center,0.125244613,8,E5
211,Economics-1955-0,16,0.22387476,0.5080235,1955.0,center,0.28414873999999996,8,E5
212,Economics-1955-0,16,0.51115459,0.70606655,1955.0,center,0.19491196,8,E5
